Hitchhiker,scarf,211562
Baby Surprise Jacket,sweater,605
Honey Cowl,cowl,169260
Clapotis,shawl / wrap,29
Fetching,gloves / mittens,195
Monkey Socks,socks,573
Calorimetry,misc headwear,88
Turn A Square,hat,75857
GAP-tastic Cowl,cowl,216488
Hermione's Everyday Socks,socks,130787
Saartje's Bootees,socks,4148
Color Affection,shawl / wrap,287723
Noro Striped Scarf,scarf,1742
"Sock Recipe: A Good, Plain Sock",socks,5241
Star Crossed Slouchy Beret,hat,48911
Ishbel,shawl / wrap,103556
wurm,hat,124800
February Lady Sweater,sweater,68527
Grandmother's Favorite,home items,2205
Sockhead Slouch Hat,hat,124400
Citron,shawl / wrap,154236
Barley,hat,426231
Felted Clogs (AC33),socks,54
Swallowtail Shawl,shawl / wrap,683
Milo,vest,121619
Jaywalker,socks,40
Wingspan,shawl / wrap,249959
The Age of Brass and Steam Kerchief,shawl / wrap,181549
Bella's Mittens,gloves / mittens,97168
Fish Lips Kiss Heel,knit components,418518
Drop Stitch Scarf,scarf,21776
Haruni,shawl / wrap,156437
Baktus Scarf,scarf,91257
Aviatrix hat,hat,85985
Multnomah,shawl / wrap,136019
One Row Handspun Scarf,scarf,594
Saroyan,scarf,150257
Ballband Dishcloth,home items,659
Bandana Cowl,cowl,273024
the beekeeper's quilt,blanket,258282
Baby Sophisticate,sweater,117515
Rikke Hat,hat,226359
Holden,shawl / wrap,202733
Baby Sweater on Two Needles (February),sweater,278
Koolhaas,hat,25038
Traveling Woman,shawl / wrap,136176
owls,sweater,103767
Featherweight Cardigan,sweater,118491
Puerperium Cardigan,sweater,243083
Neat Ripple,blanket,134792
Berry Baby Hat,hat,44131
Boyfriend Hat,hat,20140
Hurricane Hat,hat,58443
Annis,shawl / wrap,181999
Basic Ribbed Socks,socks,3156
Thorpe,hat,39371
Fish Hat [Dead or Alive?],misc,98434
Boneyard Shawl,shawl / wrap,119278
Summer Flies,shawl / wrap,187056
Vanilla Latte Socks,socks,315418
French Press Felted Slippers,socks,144470
Divine Hat,hat,36299
Burberry Inspired Cowl Neck Scarf,cowl,152730
Shalom Cardigan,sweater,57023
Irish Hiking Scarf,scarf,140
Windschief,cowl,144941
Swirl Hat,hat,151381
in threes: a baby cardigan,sweater,145368
Baa-ble Hat,hat,566285
Lace Ribbon Scarf,scarf,55271
Norwegian Sweet Baby Cap / Djevellue,hat,3417
Daybreak,shawl / wrap,132791
Susie's Reading Mitts (Archived),gloves / mittens,102193
Capucine,misc,156770
Meret (Mystery Beret),hat,88047
Hemlock Ring Blanket,blanket,17576
Graham,hat,282031
Simple Skyp Socks,socks,111517
Jacques Cousteau Hat,hat,27077
My So Called Scarf,scarf,423
Branching Out,scarf,167
Drop Stitch Cowl,cowl,294119
Susie Rogers' Reading Mitts,gloves / mittens,293353
198 yds. of Heaven,shawl / wrap,137177
Garter Ear Flap Hat,hat,464893
Man Hat,hat,213141
Hitofude Cardigan,sweater,440784
Skew,socks,164481
Flax,sweater,443533
Granny Stripes,blanket,184940
Dashing,gloves / mittens,934
Grrlfriend Market Bag,bag,77538
Basic Sock Pattern,socks,1764
Ten Stitch Blanket,blanket,74682
Wisp,scarf,6831
Just Enough Ruffles,scarf,93370
Felicity,hat,38821
One Row Lace Scarf,scarf,66962
#13 Central Park Hoodie,sweater,108
Regular Guy Beanie,hat,107753
Little Sister's Dress (Kjole til lillesøster),dress,47395
Foliage,hat,21590
Wonderful Wallaby,sweater,1421
Endpaper Mitts,gloves / mittens,71
Odessa,hat,190
Round or Pinwheel Baby Blanket,blanket,2111
Zuzu's Petals,cowl,297373
Maine Morning Mitts,gloves / mittens,26131
Stripe Study Shawl,shawl / wrap,230062
Brickless,scarf,367183
Scrunchable Scarf,scarf,1806
Multidirectional Diagonal Scarf,scarf,457
How I Make My Socks,socks,299131
Pomatomus,socks,17
Trillian,scarf,216864
Nuvem,shawl / wrap,266141
Little Coffee Bean Cardigan,sweater,112579
Leftie,shawl / wrap,328678
Revontuli -huivi/Northern Lights,shawl / wrap,26184
Lacy Baktus,scarf,128652
Ribbed Baby Jacket,coat / jacket,2209
Spring Forward,socks,69252
Sophie's Universe CAL,blanket,550990
Nutkin,socks,37747
Nurmilintu,shawl / wrap,506340
#29 Classic Socks for the family,socks,3636
Classic World War II Watch Cap (Archived),hat,56527
EviePants All-in-One,skirt,178683
Hedera,socks,192
Thuja,socks,759
Shetland Triangle Lace Shawl,shawl / wrap,129352
Big Herringbone Cowl,cowl,221125
Blueberry Waffle Socks,socks,1648
Robin's Egg Blue Hat,hat,25264
Owl Hat,hat,348297
The Doodler,scarf,615134
Aeolian Shawl,shawl / wrap,113130
Umbilical Cord Hat,hat,1104
Aidez,sweater,203002
Sheepy Pants,pants,9000
PussyHat Project,hat,707632
wham bam thank you lamb! neckwarmer,cowl,95856
Bunny Blanket Buddy (Knit) #50722,misc,4147
Embossed Leaves,socks,362
AfterThought Heel Socks,socks,247406
Elijah,toys and hobbies,32076
Who?,hat,99715
Vitamin D,sweater,241575
Lintilla,scarf,244826
Rose City Rollers,socks,580119
garter yoke baby cardi,sweater,94856
3 Color Cashmere Cowl,cowl,548384
Amineko Crocheted Cat,toys and hobbies,4396
Gail (aka Nightsongs),shawl / wrap,86008
An Unoriginal Hat ,hat,32085
Chevron Baby Blanket,blanket,391322
8 Stitches per Inch Socks,socks,23133
Christine's Stay-On Baby Booties,socks,1379
Basic Baby Hat,hat,235545
Pebble (Henry's Manly Cobblestone-Inspired Baby Vest),vest,22427
Antler Hat,hat,338883
Marian,cowl,96581
Basic Mitten Pattern,gloves / mittens,2130
Exploration Station,scarf,526080
Damson,shawl / wrap,135927
Sheldon,toys and hobbies,1080
Spring Beret,hat,68244
Mara,shawl / wrap,119656
A Noble Cowl,cowl,79499
Viajante,poncho,383598
Echo Flower Shawl,shawl / wrap,148651
Anthropologie-Inspired Capelet,shrug / bolero,563
Sock Yarn Blanket,blanket,5615
Classic Mittens No. 615,gloves / mittens,30808
Stockholm Scarf,cowl,211999
Jeck,socks,233702
Molly,hat,154873
textured shawl recipe,shawl / wrap,100315
Booga Bag,bag,606
Drachenfels,shawl / wrap,515365
Knotty Gloves,gloves / mittens,70659
Selbu Modern,hat,87662
Reyna,shawl / wrap,588220
Darkside Cowl,cowl,86685
Owlie Sleep Sack,sleepwear,159993
Broken Seed Stitch Socks,socks,280419
Silver's Sock Class,socks,5330
Pine Forest Baby Blanket,blanket,136969
Charade,socks,983
The Amanda Hat,hat,30928
Camp Out Fingerless Mitts,gloves / mittens,178872
Entrelac Scarf,scarf,2665
Chinese Waves Dishcloth,home items,8964
Rye,socks,437525
Ribbed Lace Bolero,shrug / bolero,11191
Inspira Cowl,cowl,204661
Spectra,scarf,248188
Shell Stitch Beanie,hat,180355
Rock Island,shawl / wrap,238577
Hermione's Cable & Eyelet Hat,hat,76914
Elise Shawl,shawl / wrap,191705
LaLa's Simple Shawl,shawl / wrap,79487
Kalajoki,socks,148017
South Bay Shawlette,shawl / wrap,155646
Wendy's Generic Toe-Up Sock,socks,9506
Rainbow Ripple Baby Blanket,blanket,200949
Elefante,toys and hobbies,3437
Guernsey Wrap,shawl / wrap,203137
Julekuler,home items,204293
Rockefeller,shawl / wrap,326820
Brambles Beret,hat,202638
Sunny Baby Blanket,blanket,29717
Follow your arrow mystery kal,shawl / wrap,456940
Springtime Bandit,scarf,112727
Liesl,sweater,71111
Artfully Simple Infinity Scarf,cowl,366413
Basic Children's Mittens,gloves / mittens,23118
Easy Baby Cardigan,sweater,8066
Sunnyside,sweater,241733
Hermione Hearts Ron,hat,133784
Knucks,gloves / mittens,203
Queen Anne's Lace Scarf,scarf,38960
Seaman's Cap,hat,656
Seamless Yoked Baby Sweater,sweater,8166
Tomten Jacket,coat / jacket,13061
owlet,sweater,117834
toast,gloves / mittens,88285
Non-felted Slippers,socks,228593
Urchin,hat,21600
Big Bad Baby Blanket,blanket,568
Habitat,hat,81934
75 Yard Malabrigo Fingerless Mitts,gloves / mittens,58314
Bankhead,hat,317565
Easy Peasy Newborn Sock Hat,hat,178918
Knotty but Nice,hat,154248
Lanesplitter Skirt,skirt,188691
Fiddlehead Mittens,gloves / mittens,47530
Newborn Vertebrae,sweater,270527
Waffle Knit Dishcloth,home items,46338
One-Piece Baby Kimono,sweater,634
Willow Cowl,cowl,147710
TGV (High Speed Knitting),shawl / wrap,264189
Palindrome: A Reversible Cable Scarf,scarf,17468
Curly Purly Soaker Pattern,soakers,2308
One Skein Scarf,scarf,724
Mother Bear Project Teddy Bear,toys and hobbies,17041
Vancouver Fog,gloves / mittens,106475
Cobblestone Pullover,sweater,14617
Kim's Hats,hat,2429
"Frilly, Flirty, Saucy Swirls Knit Scarf",scarf,244898
Knubbelchen,toys and hobbies,338944
Laminaria,shawl / wrap,55278
Poppy,hat,85977
ZickZack Scarf,scarf,541819
86-10 Headband,misc headwear,7910
Basic Hat Pattern,hat,2271
Mojo,socks,57407
Shaelyn,shawl / wrap,183519
Official Kittyville Hat,hat,2078
OpArt,blanket,84263
Helena,sweater,69168
Forest Canopy Shawl,shawl / wrap,855
Double Bump Dishcloth,home items,99945
Moderne Baby Blanket,blanket,3750
French Cancan,shawl / wrap,384584
Circle Socks,socks,41717
Preemie Hats for Charity,hat,14598
Easy Folded Poncho,poncho,270678
Bunny Nuggets,toys and hobbies,116853
Blue Leaf Headband,misc headwear,153799
Shroom,hat,154288
Kai-Mei,socks,113124
Legwarmies,socks,44964
A Nice Ribbed Sock,socks,183915
Falling Water,scarf,2520
Virus shawl / Virustuch,shawl / wrap,565793
Baby Chalice Blanket,blanket,105452
Lady Eleanor Entrelac Stole,shawl / wrap,254
Clockwork,scarf,201197
CustomFit,sweater,433454
Dreambird KAL,shawl / wrap,373448
Nymphalidea,shawl / wrap,432320
Happypotamus The Happy Hippo,toys and hobbies,400564
Turkish Bed Socks,socks,154499
Boxy,sweater,337715
Rib-A-Roni,hat,40997
Universal Toe-Up Sock Formula,socks,3418
Koigu Linen Stitch Scarf,scarf,154497
Lotus Hat,hat,91885
Tiramisu Baby Blanket,blanket,632
Thermis,cowl,99381
Fuzzy Feet,socks,125
Umaro,blanket,213483
Girasole,blanket,97592
Jeweled Cowl,cowl,237876
Child's Placket Neck Pullover,sweater,16
Ice Queen,cowl,37859
Maile Sweater,sweater,166747
TINY Tea Leaves Cardi,sweater,176487
Welted Fingerless Gloves,gloves / mittens,153899
7 Stitches per Inch Sock,socks,18624
Maize,gloves / mittens,437532
Chevron Baby Blanket,blanket,267731
Sweet Dreams,shawl / wrap,318247
Pogona,shawl / wrap,185648
Aestlight Shawl,shawl / wrap,128212
Hexagon How-To,knit components,108742
Baby Bib O' Love,misc neckwear,2129
Still Light Tunic,dress,180466
Chevron Scarf,scarf,742
Chevron Lace Cardigan,sweater,93461
Garter Rib,socks,122
Owl Puffs,toys and hobbies,270930
Cafe au Lait Mitts,gloves / mittens,92240
Ginkgo Shoulderette Shawl,shawl / wrap,226840
Misti Chunky Ribs & Ruffles Scarf,scarf,8493
Mother Bear Knitting in the Round Seamless,toys and hobbies,301227
Tea Leaves Cardigan,sweater,146639
Gretel,hat,16282
Pimpelliese,shawl / wrap,143156
Socks on a Plane,socks,318688
Fake Isle Hat,hat,533
Mitered Hanging Towel,home items,82354
Ashton Shawlette,shawl / wrap,293756
Purl Ridge Scarf,cowl,163671
Angel Wings Pinafore,dress,42054
Project Peace,cowl,704400
PI Shawl (July),shawl / wrap,31249
Building Blocks Shawl,scarf,688993
Pretty Thing,cowl,143559
Gusset Heel Basic Socks,socks,118307
Crochet Baby Converse,socks,184278
Magrathea,shawl / wrap,233559
Mr Greenjeans,sweater,21580
"Hey, Teach!",sweater,76823
Earth & Sky,shawl / wrap,254927
Evangeline ,gloves / mittens,41964
Montego Bay Scarf,scarf,2505
Mary Jane Booties,socks,30126
Lifestyle Toe Up Socks - No Swatch Needed,socks,20058
Cladonia,shawl / wrap,241913
Zigzagular Socks,socks,496025
Hogwarts Scarf,scarf,56
Hedgerow Socks,socks,19774
Top This! Hat,hat,551414
Campside,shawl / wrap,516200
Whisper Cardigan,sweater,107900
Claudia,hat,47864
Abalone,sweater,159433
Calm Cowl,cowl,216528
Simple Sock in Three Sizes,socks,5074
Ilene Bag,bag,68687
Herbivore,shawl / wrap,137215
Classic Cuffed Hat,hat,528611
Lucy Hat,hat,352232
Buttercup,tops,112344
The Vermonter,hat,349594
Brain Waves Beanie,hat,196356
Henslowe,shawl / wrap,265487
Beyond Puerperium,sweater,248525
Rose Red,hat,57200
Slip Stitch Heel Basic Socks,socks,118308
Kiri,shawl / wrap,69
Everlasting Bagstopper,bag,14725
Waving Lace Socks,socks,449
Gallatin Scarf,scarf,428131
Lizard Ridge,blanket,905
Miette,sweater,190670
Baby Boy 5 Hour Sweater,sweater,58502
Ribbed Watchman's Hat,hat,98405
"Holding Hands, Feeding Ducks",scarf,28108
Inga's Häkelbeutel,bag,9819
Lace-Edged Women's Hat,hat,7271
Starshower,cowl,472924
Warmest Mittens,gloves / mittens,4221
Fan Bookmark,home items,2485
The Lonely Tree Shawl,shawl / wrap,349814
Icarus Shawl,shawl / wrap,38
Azzu's Shawl ,shawl / wrap,171996
Quant,misc headwear,37844
Babette Blanket,blanket,1768
Bluebird of Happiness,home items,417060
Color Craving,scarf,424786
Woodland Shawl,shawl / wrap,19864
Gemini,tops,305363
Quick Cable Slouch Hat,hat,209067
"Tulips,  A Colorful Cardigan for Baby",sweater,5106
Quaker Yarn Stretcher Boomerang,scarf,423565
"Duffers, 19 Row Felted Slippers",socks,178761
Waiting For Rain,shawl / wrap,641003
Marsan Watchcap,hat,1725
Coronet,hat,307153
$5 in Paris,sweater,9641
gramps,sweater,259848
"Treads, a tipless gloves pattern",gloves / mittens,173646
Olivia's Butterfly,hat,128296
Cabled Baby Hats,hat,5889
A Grey Loop,cowl,246382
We Call Them Pirates,hat,45
paulie,sweater,243870
Easy Ripple Afghan,blanket,4063
Fuzzy Mitten Lamb,toys and hobbies,27691
Vauvan sukka,socks,82958
Hue Shift Afghan,blanket,354042
Norwegian Star Earflap Hat,hat,38364
Shedir,hat,87
How to Log Cabin,knit components,14425
Mary Jane Slippers,socks,17272
Adult Socks,socks,3703
Dream Stripes,shawl / wrap,235514
Pebble Beach Shawl,shawl / wrap,493867
Oriental Lily,sweater,73878
Incredible Custom-Fit Raglan,sweater,892
bunny girl in a dotty dress,toys and hobbies,405278
Antarktis,scarf,424453
Leyburn Socks,socks,270
Cameo,shawl / wrap,290179
Corner-to-Corner Throw,blanket,78373
Simple Baby Hat,hat,72399
Picky Pants,pants,1778
French Market Bag,bag,58
Mini Christmas Stocking Ornaments,home items,17533
Spiral Cowl,cowl,96269
Broadripple,socks,959
No Purl Monkeys,socks,32068
Harvest,sweater,456074
BFF Socks,socks,620
toasty,gloves / mittens,88286
Chickadee Cowl,cowl,61010
Kid's Fruit Cap,hat,2983
Button-Tab Hat,hat,49500
Slouchy Copy Cat Hat,hat,494
Tuch / shawl *LazyKaty*,shawl / wrap,148916
Butterfly Hat,hat,31200
22.5 Degrees,scarf,150772
Owlie Socks,socks,223556
Morning Walk Headband Earwarmer,misc headwear,157766
Give a Hoot,gloves / mittens,95513
Veyla,gloves / mittens,139148
Quynn,hat,258705
16 Sixteen Cable Hat,hat,157344
Mustard Scarf,scarf,94641
fornicating deer chart,knit components,96590
Dustland Hat,hat,264698
Slouched Tuva Hat,hat,39289
Hogwarts Express,shawl / wrap,272223
Paraphernalia,socks,65754
Infinitude Scarf,cowl,220349
Entrechat,shrug / bolero,373412
Spa Day Facecloth,home items,176925
Sideways Grande Cloche,hat,91369
Botanic Hat,hat,129411
Mohair Bias Loop,shawl / wrap,154504
Nola's slipper,socks,50658
Shawl Collared Cowl,cowl,195330
The Almost Lost Washcloth,home items,445512
Marin,shawl / wrap,294035
Urban Necessity Gloves,gloves / mittens,2918
Fat Bottom Bag,bag,685
Hannah,misc,37092
Doctor Who Scarf - Season 12,scarf,33425
Leafy Washcloth,home items,241417
